defect,repair,inservice,cartype,manufacturer
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,CLEANED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
LEAKING,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
OTHERS,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
H/W DAMAGED,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
LEAKING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
MALFUNCTIONING,REPAIRED,45,R32,Budd Company
MALFUNCTIONING,REPLACED,45,R32,Budd Company
DIRTY,REPLACED,45,R32,Budd Company
